order_id,customer_id,product_id,order_date,product_price,product_rating,product_historical_return_rate,customer_age,customer_previous_orders,customer_previous_returns,customer_return_rate,quantity,discount_pct,delivery_distance_km,expected_delivery_days,order_month,order_day_of_week,category,payment_type,discount_bucket,price_bucket,returned
O000022,C02782,P00073,2025-01-01 04:35:11.452786,1207.48,4.13,0.2029,61,8,0,0.0,1,0.8,35.2,4,1,2,Fashion,Debit Card,Low,Mid,0
O000023,C01469,P01795,2025-01-01 04:48:17.712442,1199.06,3.5,0.0521,54,8,1,0.125,1,23.3,5.0,3,1,2,Books,Wallet,Medium,Mid,0
O000024,C05862,P00797,2025-01-01 05:01:23.972099,1027.99,3.55,0.138,45,5,1,0.2,1,0.0,12.2,4,1,2,Beauty,Credit Card,Low,Mid,0
O000025,C02265,P02259,2025-01-01 05:14:30.231755,3971.91,4.75,0.2366,22,6,2,0.3333333333333333,3,11.2,4.2,3,1,2,Fashion,UPI,Medium,Premium,0
O000026,C07937,P00211,2025-01-01 05:27:36.491412,832.19,3.94,0.2531,26,14,3,0.2142857142857142,3,23.6,8.7,3,1,2,Fashion,Debit Card,Medium,Mid,1
O000027,C05057,P02368,2025-01-01 05:40:42.751068,1974.56,3.12,0.2102,62,7,0,0.0,1,16.1,33.5,3,1,2,Fashion,UPI,Medium,Premium,0
O000028,C04545,P01356,2025-01-01 05:53:49.010725,214.19,3.27,0.1156,38,7,0,0.0,2,9.6,8.0,4,1,2,Electronics,Debit Card,Low,Budget,0
O000029,C02870,P01652,2025-01-01 06:06:55.270381,1522.82,3.68,0.1235,27,15,5,0.3333333333333333,1,2.7,14.8,2,1,2,Beauty,UPI,Low,Premium,0
O000030,C03196,P02476,2025-01-01 06:20:01.530038,4228.68,3.82,0.1161,26,6,2,0.3333333333333333,1,0.0,29.3,3,1,2,Sports,UPI,Low,Premium,0
O000031,C00334,P00651,2025-01-01 06:33:07.789694,2476.53,4.15,0.2288,57,8,4,0.5,1,8.4,2.7,2,1,2,Fashion,Debit Card,Low,Premium,1
O000032,C02322,P00602,2025-01-01 06:46:14.049351,2895.7,4.02,0.054,19,5,0,0.0,1,2.5,28.3,4,1,2,Beauty,Credit Card,Low,Premium,0
O000033,C00452,P02158,2025-01-01 06:59:20.309007,2714.02,3.61,0.0467,61,10,1,0.1,1,21.8,18.1,4,1,2,Beauty,COD,Medium,Premium,0
O000034,C02105,P01267,2025-01-01 07:12:26.568664,704.41,4.81,0.1451,58,7,0,0.0,2,0.7,8.2,2,1,2,Beauty,UPI,Low,Mid,1
O000035,C00374,P02046,2025-01-01 07:25:32.828320,1026.73,3.63,0.0265,35,9,1,0.1111111111111111,4,6.5,15.4,3,1,2,Books,Wallet,Low,Mid,0
O000036,C01808,P01091,2025-01-01 07:38:39.087977,609.18,4.48,0.0867,40,8,1,0.125,1,26.1,20.4,3,1,2,Electronics,Credit Card,High,Mid,1
O000037,C04715,P00726,2025-01-01 07:51:45.347633,784.87,4.31,0.0617,19,12,4,0.3333333333333333,2,38.2,19.0,2,1,2,Home & Kitchen,COD,High,Mid,0
O000038,C03596,P01907,2025-01-01 08:04:51.607290,939.05,4.54,0.2281,31,8,1,0.125,1,4.5,17.4,3,1,2,Fashion,Credit Card,Low,Mid,0
O000039,C00992,P02152,2025-01-01 08:17:57.866946,2673.04,3.63,0.1013,43,5,0,0.0,1,24.7,18.0,3,1,2,Beauty,UPI,Medium,Premium,0
O000040,C01535,P00638,2025-01-01 08:31:04.126603,1000.67,4.55,0.039,56,4,0,0.0,3,30.4,8.7,3,1,2,Books,Credit Card,High,Mid,0
O000041,C00131,P00869,2025-01-01 08:44:10.386259,538.37,2.55,0.096,44,7,0,0.0,1,8.5,32.5,3,1,2,Electronics,Wallet,Low,Mid,0
O000042,C01416,P01528,2025-01-01 08:57:16.645916,860.7,3.06,0.0634,54,8,0,0.0,1,12.7,6.2,3,1,2,Books,Credit Card,Medium,Mid,0
O000043,C01356,P00964,2025-01-01 09:10:22.905572,773.57,4.51,0.1679,41,7,4,0.5714285714285714,1,19.3,15.9,3,1,2,Home & Kitchen,UPI,Medium,Mid,0
O000044,C00141,P01621,2025-01-01 09:23:29.165229,414.05,4.25,0.1888,64,7,1,0.1428571428571428,2,20.4,14.1,3,1,2,Footwear,Credit Card,Medium,Budget,1
O000045,C00240,P01544,2025-01-01 09:36:35.424885,4421.08,3.94,0.2477,47,3,0,0.0,1,21.2,34.2,3,1,2,Fashion,Credit Card,Medium,Premium,0
O000046,C02748,P00611,2025-01-01 09:49:41.684542,1493.73,4.62,0.1247,56,5,1,0.2,1,23.0,15.4,3,1,2,Electronics,Wallet,Medium,Mid,0
O000047,C01932,P00360,2025-01-01 10:02:47.944198,5108.42,3.45,0.1219,40,10,2,0.2,1,40.3,39.6,4,1,2,Home & Kitchen,UPI,Very High,Luxury,0
O000048,C00246,P00688,2025-01-01 10:15:54.203855,1306.6,3.56,0.1048,21,3,0,0.0,1,16.4,21.8,3,1,2,Electronics,Credit Card,Medium,Mid,0
O000049,C02681,P01307,2025-01-01 10:29:00.463511,2766.51,3.45,0.1142,23,10,0,0.0,1,29.7,21.2,2,1,2,Sports,Debit Card,High,Premium,0
O000050,C01799,P02235,2025-01-01 10:42:06.723168,2271.35,4.29,0.02,40,7,4,0.5714285714285714,1,0.0,25.4,3,1,2,Books,UPI,Low,Premium,0
O000051,C04777,P02384,2025-01-01 10:55:12.982824,414.18,3.77,0.2752,33,9,0,0.0,2,10.5,4.6,3,1,2,Fashion,Debit Card,Medium,Budget,1
O000052,C03703,P01281,2025-01-01 11:08:19.242481,955.5,3.29,0.1598,29,9,3,0.3333333333333333,1,0.0,14.1,4,1,2,Home & Kitchen,Wallet,Low,Mid,0
O000053,C05739,P00659,2025-01-01 11:21:25.502137,3359.75,4.23,0.1025,28,8,2,0.25,2,52.0,38.1,4,1,2,Home & Kitchen,Credit Card,Very High,Premium,1
O000054,C00903,P02223,2025-01-01 11:34:31.761794,1083.71,3.85,0.2229,28,11,3,0.2727272727272727,1,36.0,24.9,3,1,2,Fashion,COD,High,Mid,1
O000055,C04401,P01504,2025-01-01 11:47:38.021450,1072.79,3.75,0.1405,35,7,0,0.0,1,4.5,4.6,4,1,2,Home & Kitchen,UPI,Low,Mid,0
O000056,C03228,P01686,2025-01-01 12:00:44.281107,205.91,4.15,0.0929,35,4,0,0.0,1,8.4,9.7,3,1,2,Home & Kitchen,Credit Card,Low,Budget,0
O000057,C07918,P01733,2025-01-01 12:13:50.540763,11295.23,2.97,0.02,22,9,2,0.2222222222222222,1,1.2,26.4,4,1,2,Beauty,UPI,Low,Luxury,1
O000058,C05749,P00036,2025-01-01 12:26:56.800420,484.18,4.33,0.0848,61,7,0,0.0,1,18.0,7.5,3,1,2,Electronics,COD,Medium,Budget,0
O000059,C07805,P00277,2025-01-01 12:40:03.060076,465.97,3.48,0.1263,53,3,0,0.0,1,19.2,6.4,2,1,2,Beauty,Credit Card,Medium,Budget,0
O000060,C01973,P00188,2025-01-01 12:53:09.319732,689.22,4.51,0.1095,50,8,4,0.5,2,5.2,13.2,4,1,2,Electronics,UPI,Low,Mid,1
O000061,C05746,P00334,2025-01-01 13:06:15.579389,1603.98,4.44,0.1396,18,5,3,0.6,1,21.8,11.5,1,1,2,Home & Kitchen,Wallet,Medium,Premium,0
O000062,C00050,P00644,2025-01-01 13:19:21.839045,443.01,3.57,0.2891,54,3,1,0.3333333333333333,1,5.7,9.9,3,1,2,Fashion,UPI,Low,Budget,0
O000063,C02897,P00625,2025-01-01 13:32:28.098702,1895.71,3.69,0.0303,49,3,1,0.3333333333333333,2,12.3,20.1,2,1,2,Books,COD,Medium,Premium,0
O000064,C00012,P01536,2025-01-01 13:45:34.358358,540.93,4.85,0.1151,63,14,0,0.0,2,23.9,9.9,2,1,2,Books,COD,Medium,Mid,0
O000065,C05859,P02491,2025-01-01 13:58:40.618015,641.61,3.9,0.2244,34,13,2,0.1538461538461538,2,6.0,34.4,4,1,2,Fashion,Credit Card,Low,Mid,0
O000066,C05994,P00362,2025-01-01 14:11:46.877671,208.46,4.22,0.2145,48,3,0,0.0,1,0.0,22.4,4,1,2,Footwear,Credit Card,Low,Budget,0
O000067,C00347,P00251,2025-01-01 14:24:53.137328,452.84,3.56,0.059,64,10,4,0.4,1,18.4,8.9,2,1,2,Electronics,COD,Medium,Budget,0
O000068,C05424,P00296,2025-01-01 14:37:59.396984,591.08,3.89,0.3035,29,6,0,0.0,2,15.0,26.6,3,1,2,Fashion,Debit Card,Medium,Mid,0
O000069,C04355,P00784,2025-01-01 14:51:05.656641,2771.76,4.21,0.0835,40,4,1,0.25,1,48.7,6.7,1,1,2,Home & Kitchen,UPI,Very High,Premium,0
O000070,C07824,P00359,2025-01-01 15:04:11.916297,487.71,3.85,0.1092,40,16,1,0.0625,1,33.9,6.7,2,1,2,Electronics,Credit Card,High,Budget,1
O000071,C01037,P00785,2025-01-01 15:17:18.175954,3380.84,3.96,0.1334,60,7,1,0.1428571428571428,1,24.3,11.7,3,1,2,Sports,COD,Medium,Premium,0
O000072,C03592,P02117,2025-01-01 15:30:24.435610,793.54,4.84,0.2499,31,9,1,0.1111111111111111,1,4.2,5.2,3,1,2,Fashion,Credit Card,Low,Mid,0
O000073,C06302,P02078,2025-01-01 15:43:30.695267,955.91,4.27,0.0901,18,10,0,0.0,1,13.6,11.2,4,1,2,Books,UPI,Medium,Mid,1
O000074,C05240,P00330,2025-01-01 15:56:36.954923,3416.48,4.23,0.02,60,14,3,0.2142857142857142,2,0.7,4.7,1,1,2,Books,Debit Card,Low,Premium,0
O000075,C04864,P00638,2025-01-01 16:09:43.214580,1000.67,4.55,0.039,51,4,2,0.5,1,19.5,7.3,3,1,2,Books,Wallet,Medium,Mid,0
O000076,C05377,P01027,2025-01-01 16:22:49.474236,1203.38,4.46,0.0448,26,8,0,0.0,1,2.9,4.2,2,1,2,Books,UPI,Low,Mid,0
O000077,C03290,P01653,2025-01-01 16:35:55.733893,3270.62,3.4,0.1884,26,6,1,0.1666666666666666,1,35.1,3.1,2,1,2,Footwear,UPI,High,Premium,0
O000078,C01333,P01289,2025-01-01 16:49:01.993549,1640.55,3.8,0.2891,37,8,0,0.0,3,19.8,12.9,3,1,2,Fashion,COD,Medium,Premium,0
O000079,C01393,P00646,2025-01-01 17:02:08.253206,5444.09,4.38,0.2469,64,7,0,0.0,1,20.3,9.8,4,1,2,Fashion,Credit Card,Medium,Luxury,0
O000080,C01578,P00813,2025-01-01 17:15:14.512862,150.0,4.51,0.0694,55,4,0,0.0,1,14.3,26.0,2,1,2,Sports,Credit Card,Medium,Budget,1
O000081,C01042,P02079,2025-01-01 17:28:20.772519,636.18,3.09,0.2149,58,4,1,0.25,1,1.5,16.9,3,1,2,Footwear,Wallet,Low,Mid,1
O000082,C05754,P01121,2025-01-01 17:41:27.032175,519.95,4.02,0.2346,30,7,1,0.1428571428571428,1,23.6,9.7,2,1,2,Footwear,UPI,Medium,Mid,0
O000083,C04905,P01656,2025-01-01 17:54:33.291832,264.25,4.65,0.1623,26,13,3,0.2307692307692307,1,0.0,6.5,3,1,2,Beauty,COD,Low,Budget,0
O000084,C00644,P02326,2025-01-01 18:07:39.551488,1370.24,4.07,0.1281,40,15,3,0.2,3,15.4,9.8,3,1,2,Home & Kitchen,UPI,Medium,Mid,0
O000085,C07848,P01338,2025-01-01 18:20:45.811145,1657.37,3.9,0.0524,61,10,0,0.0,1,34.1,2.0,2,1,2,Electronics,UPI,High,Premium,0
O000086,C00446,P01568,2025-01-01 18:33:52.070801,1125.57,4.02,0.0985,49,6,1,0.1666666666666666,1,25.9,24.0,2,1,2,Home & Kitchen,UPI,High,Mid,0
O000087,C02882,P01756,2025-01-01 18:46:58.330458,5109.58,3.69,0.0815,29,6,0,0.0,1,27.6,15.2,2,1,2,Books,Debit Card,High,Luxury,0
O000088,C07875,P02404,2025-01-01 19:00:04.590114,1429.76,3.92,0.2007,31,6,2,0.3333333333333333,1,26.2,17.9,2,1,2,Fashion,Debit Card,High,Mid,0
O000089,C07546,P00068,2025-01-01 19:13:10.849771,966.58,4.13,0.1301,49,9,3,0.3333333333333333,4,16.3,18.0,3,1,2,Beauty,Debit Card,Medium,Mid,0
O000090,C04697,P00869,2025-01-01 19:26:17.109427,538.37,2.55,0.096,21,9,0,0.0,1,15.3,27.0,5,1,2,Electronics,UPI,Medium,Mid,0
O000091,C02111,P01252,2025-01-01 19:39:23.369084,1639.8,4.03,0.0718,31,12,6,0.5,1,19.3,5.3,4,1,2,Electronics,Credit Card,Medium,Premium,0
O000092,C02247,P01105,2025-01-01 19:52:29.628740,4578.79,3.73,0.207,45,4,0,0.0,1,9.3,3.2,3,1,2,Fashion,UPI,Low,Premium,0
O000093,C03177,P00804,2025-01-01 20:05:35.888397,957.05,4.67,0.2018,46,8,0,0.0,1,0.0,27.8,3,1,2,Fashion,COD,Low,Mid,0
O000094,C04987,P01751,2025-01-01 20:18:42.148053,729.99,5.0,0.2388,63,5,0,0.0,1,9.4,19.3,2,1,2,Fashion,COD,Low,Mid,0
O000095,C01859,P02484,2025-01-01 20:31:48.407710,2343.47,4.33,0.1897,42,13,6,0.4615384615384615,2,29.3,8.2,3,1,2,Footwear,Debit Card,High,Premium,0
O000096,C06786,P01506,2025-01-01 20:44:54.667366,595.3,3.32,0.2368,63,5,1,0.2,1,10.3,4.9,3,1,2,Footwear,UPI,Medium,Mid,1
O000097,C07311,P01445,2025-01-01 20:58:00.927023,705.75,3.86,0.1433,59,17,0,0.0,1,5.9,8.8,3,1,2,Home & Kitchen,Credit Card,Low,Mid,0
O000098,C03283,P01933,2025-01-01 21:11:07.186679,2465.82,3.6,0.0634,63,10,3,0.3,1,17.7,30.5,4,1,2,Beauty,Credit Card,Medium,Premium,0
O000099,C07094,P01762,2025-01-01 21:24:13.446336,2032.78,5.0,0.0889,40,10,1,0.1,1,19.9,37.1,3,1,2,Books,Credit Card,Medium,Premium,0
O000100,C06470,P02104,2025-01-01 21:37:19.705992,1307.61,3.82,0.2208,25,7,1,0.1428571428571428,2,21.1,9.8,2,1,2,Fashion,UPI,Medium,Mid,0
O000101,C06461,P00460,2025-01-01 21:50:25.965649,5210.11,4.03,0.293,25,10,5,0.5,1,7.3,19.0,2,1,2,Fashion,UPI,Low,Luxury,1
O000102,C05435,P00988,2025-01-01 22:03:32.225305,1948.58,4.8,0.1002,42,6,2,0.3333333333333333,1,52.3,9.8,2,1,2,Electronics,Debit Card,Very High,Premium,0
O000103,C05728,P01270,2025-01-01 22:16:38.484962,2612.45,3.59,0.3308,22,8,3,0.375,2,18.0,4.5,2,1,2,Fashion,Debit Card,Medium,Premium,1
O000104,C02123,P00298,2025-01-01 22:29:44.744618,1035.95,3.9,0.1539,45,7,2,0.2857142857142857,1,43.3,7.4,3,1,2,Home & Kitchen,Credit Card,Very High,Mid,0
O000105,C00208,P00472,2025-01-01 22:42:51.004275,2231.4,4.58,0.0666,63,7,1,0.1428571428571428,1,45.2,19.4,3,1,2,Books,COD,Very High,Premium,0
O000106,C03102,P01431,2025-01-01 22:55:57.263931,1266.66,4.72,0.0654,24,11,2,0.1818181818181818,2,12.9,5.4,2,1,2,Books,Credit Card,Medium,Mid,0
O000107,C01139,P00191,2025-01-01 23:09:03.523588,1013.16,3.98,0.0901,52,8,1,0.125,1,38.7,17.2,3,1,2,Beauty,UPI,High,Mid,0
O000108,C05731,P00675,2025-01-01 23:22:09.783244,516.39,3.4,0.1282,57,10,2,0.2,1,12.9,6.3,3,1,2,Beauty,Credit Card,Medium,Mid,1
O000109,C02298,P00120,2025-01-01 23:35:16.042901,333.38,3.55,0.2543,41,5,0,0.0,1,1.6,1.0,1,1,2,Fashion,Debit Card,Low,Budget,0
O000110,C07136,P00556,2025-01-01 23:48:22.302557,1417.88,4.87,0.1193,40,13,1,0.0769230769230769,1,15.3,8.0,2,1,2,Beauty,Credit Card,Medium,Mid,0
O000111,C02894,P01998,2025-01-02 00:01:28.562214,399.29,4.29,0.1681,60,5,0,0.0,2,11.3,25.0,4,1,3,Footwear,UPI,Medium,Budget,0
O000112,C00186,P00290,2025-01-02 00:14:34.821870,1017.43,4.34,0.0868,38,7,0,0.0,3,15.9,9.3,4,1,3,Books,Debit Card,Medium,Mid,0
O000113,C04208,P01106,2025-01-02 00:27:41.081527,2014.36,3.67,0.1175,62,5,0,0.0,1,26.9,2.6,3,1,3,Sports,Wallet,High,Premium,0
O000114,C03804,P01062,2025-01-02 00:40:47.341183,421.39,4.09,0.0831,19,10,0,0.0,3,16.6,10.5,4,1,3,Sports,UPI,Medium,Budget,0
O000115,C04991,P00261,2025-01-02 00:53:53.600840,678.68,3.38,0.2805,48,9,2,0.2222222222222222,1,22.1,3.6,2,1,3,Fashion,Debit Card,Medium,Mid,0
O000116,C03051,P00029,2025-01-02 01:06:59.860496,4570.68,4.72,0.2657,57,5,0,0.0,1,30.4,23.7,3,1,3,Fashion,UPI,High,Premium,0
O000117,C02985,P01906,2025-01-02 01:20:06.120153,762.14,3.95,0.2425,51,12,5,0.4166666666666667,1,27.9,5.2,2,1,3,Fashion,UPI,High,Mid,0
O000118,C06535,P00413,2025-01-02 01:33:12.379809,2072.78,4.21,0.2734,63,11,0,0.0,2,15.9,13.5,3,1,3,Fashion,COD,Medium,Premium,1
O000119,C00130,P00653,2025-01-02 01:46:18.639465,2144.25,4.17,0.0485,47,9,1,0.1111111111111111,1,36.0,19.1,3,1,3,Books,UPI,High,Premium,0
O000120,C06254,P01135,2025-01-02 01:59:24.899122,1305.5,3.92,0.117,43,12,2,0.1666666666666666,1,20.3,21.5,3,1,3,Home & Kitchen,UPI,Medium,Mid,0
O000121,C06847,P02168,2025-01-02 02:12:31.158778,1093.97,4.76,0.0478,23,12,2,0.1666666666666666,2,27.5,34.5,4,1,3,Books,UPI,High,Mid,0
O000122,C07432,P01900,2025-01-02 02:25:37.418435,337.4,4.23,0.1109,57,3,0,0.0,1,13.0,23.3,3,1,3,Home & Kitchen,Credit Card,Medium,Budget,0
O000123,C05420,P02035,2025-01-02 02:38:43.678091,518.59,3.97,0.2599,48,9,1,0.1111111111111111,1,12.3,9.1,2,1,3,Fashion,UPI,Medium,Mid,0
O000124,C05475,P00856,2025-01-02 02:51:49.937748,7466.46,3.27,0.2053,20,4,0,0.0,4,21.0,13.2,2,1,3,Fashion,Wallet,Medium,Luxury,0
O000125,C00462,P02298,2025-01-02 03:04:56.197404,280.27,4.03,0.1983,24,6,1,0.1666666666666666,1,1.5,30.3,4,1,3,Fashion,UPI,Low,Budget,1
O000126,C07741,P00741,2025-01-02 03:18:02.457061,448.04,4.64,0.0742,24,6,0,0.0,1,11.8,15.2,3,1,3,Beauty,Credit Card,Medium,Budget,0
O000127,C01698,P02230,2025-01-02 03:31:08.716717,237.92,4.44,0.1113,25,8,0,0.0,1,14.5,7.6,2,1,3,Electronics,Credit Card,Medium,Budget,0
O000128,C07998,P00520,2025-01-02 03:44:14.976374,3831.55,4.34,0.0686,33,7,0,0.0,3,4.5,7.7,3,1,3,Electronics,Credit Card,Low,Premium,0
O000129,C04681,P00413,2025-01-02 03:57:21.236030,2072.78,4.21,0.2734,33,5,0,0.0,2,20.1,20.8,2,1,3,Fashion,COD,Medium,Premium,0
O000130,C05059,P01777,2025-01-02 04:10:27.495687,2003.41,4.04,0.0665,29,9,2,0.2222222222222222,1,9.8,12.3,3,1,3,Beauty,Debit Card,Low,Premium,0
O000131,C00773,P00917,2025-01-02 04:23:33.755343,2089.36,4.05,0.1967,18,8,1,0.125,1,33.5,26.4,3,1,3,Footwear,UPI,High,Premium,0
O000132,C00284,P00239,2025-01-02 04:36:40.015000,1568.41,4.1,0.0976,41,7,2,0.2857142857142857,1,23.4,9.8,3,1,3,Electronics,UPI,Medium,Premium,0
O000133,C04635,P01348,2025-01-02 04:49:46.274656,1360.11,3.4,0.0536,22,10,4,0.4,3,2.3,21.9,2,1,3,Beauty,Credit Card,Low,Mid,0
O000134,C02155,P01647,2025-01-02 05:02:52.534313,1995.01,4.53,0.1299,51,7,1,0.1428571428571428,3,34.1,14.1,4,1,3,Sports,Credit Card,High,Premium,0
O000135,C04062,P00521,2025-01-02 05:15:58.793969,1213.8,4.51,0.2811,19,9,1,0.1111111111111111,3,26.9,19.8,4,1,3,Fashion,UPI,High,Mid,0
O000136,C02132,P00510,2025-01-02 05:29:05.053626,1593.21,3.95,0.3024,63,10,2,0.2,1,7.1,13.0,3,1,3,Fashion,Credit Card,Low,Premium,0
O000137,C04444,P02066,2025-01-02 05:42:11.313282,367.81,3.76,0.1751,39,9,2,0.2222222222222222,1,31.2,5.5,3,1,3,Footwear,COD,High,Budget,0
O000138,C06226,P00895,2025-01-02 05:55:17.572939,672.37,3.85,0.0499,51,9,1,0.1111111111111111,1,23.6,5.4,3,1,3,Electronics,Debit Card,Medium,Mid,0
O000139,C02536,P01038,2025-01-02 06:08:23.832595,1850.51,3.24,0.1218,63,6,2,0.3333333333333333,1,36.6,16.7,3,1,3,Beauty,COD,High,Premium,0
O000140,C05634,P00466,2025-01-02 06:21:30.092252,2285.79,4.08,0.02,31,8,1,0.125,1,2.9,6.8,3,1,3,Books,COD,Low,Premium,1
O000141,C00714,P01468,2025-01-02 06:34:36.351908,2222.79,4.16,0.1241,53,2,1,0.5,1,35.2,16.7,4,1,3,Beauty,Wallet,High,Premium,0
O000142,C01944,P00221,2025-01-02 06:47:42.611565,3188.49,3.63,0.2012,19,4,0,0.0,2,3.9,6.1,3,1,3,Footwear,Credit Card,Low,Premium,0
O000143,C04638,P00718,2025-01-02 07:00:48.871221,1516.6,4.92,0.2111,41,9,2,0.2222222222222222,1,12.3,12.4,3,1,3,Home & Kitchen,Credit Card,Medium,Premium,0
O000144,C01401,P00787,2025-01-02 07:13:55.130878,918.17,4.23,0.1821,58,4,0,0.0,1,9.0,24.4,3,1,3,Fashion,Debit Card,Low,Mid,0
O000145,C06349,P02486,2025-01-02 07:27:01.390534,1345.68,3.44,0.0537,40,10,2,0.2,2,20.0,14.7,2,1,3,Electronics,COD,Medium,Mid,1
O000146,C02554,P00939,2025-01-02 07:40:07.650191,2749.47,2.68,0.0404,27,11,0,0.0,1,16.3,27.5,4,1,3,Home & Kitchen,Debit Card,Medium,Premium,0
O000147,C06051,P00422,2025-01-02 07:53:13.909847,297.3,4.12,0.0863,37,6,1,0.1666666666666666,4,23.5,8.4,2,1,3,Electronics,UPI,Medium,Budget,0
O000148,C01504,P01000,2025-01-02 08:06:20.169504,660.86,3.95,0.2762,33,8,3,0.375,3,28.7,16.1,3,1,3,Fashion,Debit Card,High,Mid,0
O000149,C04872,P02354,2025-01-02 08:19:26.429160,3409.21,3.52,0.1834,62,9,3,0.3333333333333333,1,14.6,20.6,4,1,3,Footwear,Debit Card,Medium,Premium,0
O000150,C07828,P00917,2025-01-02 08:32:32.688817,2089.36,4.05,0.1967,36,5,0,0.0,2,23.1,53.0,4,1,3,Footwear,COD,Medium,Premium,0
O000151,C01747,P02260,2025-01-02 08:45:38.948473,1961.87,4.21,0.2597,64,5,0,0.0,1,0.8,2.8,4,1,3,Footwear,Debit Card,Low,Premium,0
O000152,C01084,P00782,2025-01-02 08:58:45.208130,1619.7,4.03,0.1376,44,14,3,0.2142857142857142,1,11.6,33.5,4,1,3,Sports,Credit Card,Medium,Premium,0
O000153,C01512,P00918,2025-01-02 09:11:51.467786,5118.66,3.79,0.2692,28,8,2,0.25,1,10.7,14.7,2,1,3,Fashion,UPI,Medium,Luxury,0
O000154,C03971,P00055,2025-01-02 09:24:57.727443,1577.27,4.1,0.0941,40,7,0,0.0,1,1.2,11.0,4,1,3,Home & Kitchen,UPI,Low,Premium,0
