order_id,order_date,customer_id,product_id,category,product_price,product_rating,product_historical_return_rate,customer_age,customer_previous_orders,customer_previous_returns,customer_return_rate,quantity,discount_pct,payment_type,delivery_distance_km,expected_delivery_days,discount_bucket,price_bucket,order_month,order_day_of_week,returned
O000017,2025-01-01 03:29:40.154503,C01326,P01736,Electronics,2966.0,4.15,0.1021,26,9,2,0.2222,1,6.1,Credit Card,27.9,4,Low,Premium,1,2,0
O000018,2025-01-01 03:42:46.414160,C00858,P00144,Electronics,6190.67,4.16,0.1081,20,11,2,0.1818,2,21.7,UPI,9.4,2,Medium,Luxury,1,2,0
O000019,2025-01-01 03:55:52.673816,C01631,P00442,Footwear,1172.28,3.58,0.2554,44,13,2,0.1538,1,5.0,Wallet,20.4,3,Low,Mid,1,2,1
O000020,2025-01-01 04:08:58.933473,C04903,P01434,Electronics,3751.21,3.39,0.0726,47,7,0,0.0,1,28.2,Credit Card,21.4,3,High,Premium,1,2,0
O000021,2025-01-01 04:22:05.193129,C02516,P00030,Electronics,1620.23,3.43,0.0653,56,11,2,0.1818,1,21.2,Credit Card,27.1,4,Medium,Premium,1,2,0
O000022,2025-01-01 04:35:11.452786,C02782,P00073,Fashion,1207.48,4.13,0.2029,61,8,0,0.0,1,0.8,Debit Card,35.2,4,Low,Mid,1,2,0
O000023,2025-01-01 04:48:17.712442,C01469,P01795,Books,1199.06,3.5,0.0521,54,8,1,0.125,1,23.3,Wallet,5.0,3,Medium,Mid,1,2,0
O000024,2025-01-01 05:01:23.972099,C05862,P00797,Beauty,1027.99,3.55,0.138,45,5,1,0.2,1,0.0,Credit Card,12.2,4,Low,Mid,1,2,0
O000025,2025-01-01 05:14:30.231755,C02265,P02259,Fashion,3971.91,4.75,0.2366,22,6,2,0.3333,3,11.2,UPI,4.2,3,Medium,Premium,1,2,0
O000026,2025-01-01 05:27:36.491412,C07937,P00211,Fashion,832.19,3.94,0.2531,26,14,3,0.2143,3,23.6,Debit Card,8.7,3,Medium,Mid,1,2,1
O000027,2025-01-01 05:40:42.751068,C05057,P02368,Fashion,1974.56,3.12,0.2102,62,7,0,0.0,1,16.1,UPI,33.5,3,Medium,Premium,1,2,0
O000028,2025-01-01 05:53:49.010725,C04545,P01356,Electronics,214.19,3.27,0.1156,38,7,0,0.0,2,9.6,Debit Card,8.0,4,Low,Budget,1,2,0
O000029,2025-01-01 06:06:55.270381,C02870,P01652,Beauty,1522.82,3.68,0.1235,27,15,5,0.3333,1,2.7,UPI,14.8,2,Low,Premium,1,2,0
O000030,2025-01-01 06:20:01.530038,C03196,P02476,Sports,4228.68,3.82,0.1161,26,6,2,0.3333,1,0.0,UPI,29.3,3,Low,Premium,1,2,0
O000031,2025-01-01 06:33:07.789694,C00334,P00651,Fashion,2476.53,4.15,0.2288,57,8,4,0.5,1,8.4,Debit Card,2.7,2,Low,Premium,1,2,1
O000032,2025-01-01 06:46:14.049351,C02322,P00602,Beauty,2895.7,4.02,0.054,19,5,0,0.0,1,2.5,Credit Card,28.3,4,Low,Premium,1,2,0
O000033,2025-01-01 06:59:20.309007,C00452,P02158,Beauty,2714.02,3.61,0.0467,61,10,1,0.1,1,21.8,COD,18.1,4,Medium,Premium,1,2,0
O000034,2025-01-01 07:12:26.568664,C02105,P01267,Beauty,704.41,4.81,0.1451,58,7,0,0.0,2,0.7,UPI,8.2,2,Low,Mid,1,2,1
O000035,2025-01-01 07:25:32.828320,C00374,P02046,Books,1026.73,3.63,0.0265,35,9,1,0.1111,4,6.5,Wallet,15.4,3,Low,Mid,1,2,0
O000036,2025-01-01 07:38:39.087977,C01808,P01091,Electronics,609.18,4.48,0.0867,40,8,1,0.125,1,26.1,Credit Card,20.4,3,High,Mid,1,2,1
O000037,2025-01-01 07:51:45.347633,C04715,P00726,Home & Kitchen,784.87,4.31,0.0617,19,12,4,0.3333,2,38.2,COD,19.0,2,High,Mid,1,2,0
O000038,2025-01-01 08:04:51.607290,C03596,P01907,Fashion,939.05,4.54,0.2281,31,8,1,0.125,1,4.5,Credit Card,17.4,3,Low,Mid,1,2,0
O000039,2025-01-01 08:17:57.866946,C00992,P02152,Beauty,2673.04,3.63,0.1013,43,5,0,0.0,1,24.7,UPI,18.0,3,Medium,Premium,1,2,0
O000040,2025-01-01 08:31:04.126603,C01535,P00638,Books,1000.67,4.55,0.039,56,4,0,0.0,3,30.4,Credit Card,8.7,3,High,Mid,1,2,0
O000041,2025-01-01 08:44:10.386259,C00131,P00869,Electronics,538.37,2.55,0.096,44,7,0,0.0,1,8.5,Wallet,32.5,3,Low,Mid,1,2,0
O000042,2025-01-01 08:57:16.645916,C01416,P01528,Books,860.7,3.06,0.0634,54,8,0,0.0,1,12.7,Credit Card,6.2,3,Medium,Mid,1,2,0
O000043,2025-01-01 09:10:22.905572,C01356,P00964,Home & Kitchen,773.57,4.51,0.1679,41,7,4,0.5714,1,19.3,UPI,15.9,3,Medium,Mid,1,2,0
O000044,2025-01-01 09:23:29.165229,C00141,P01621,Footwear,414.05,4.25,0.1888,64,7,1,0.1429,2,20.4,Credit Card,14.1,3,Medium,Budget,1,2,1
O000045,2025-01-01 09:36:35.424885,C00240,P01544,Fashion,4421.08,3.94,0.2477,47,3,0,0.0,1,21.2,Credit Card,34.2,3,Medium,Premium,1,2,0
O000046,2025-01-01 09:49:41.684542,C02748,P00611,Electronics,1493.73,4.62,0.1247,56,5,1,0.2,1,23.0,Wallet,15.4,3,Medium,Mid,1,2,0
O000047,2025-01-01 10:02:47.944198,C01932,P00360,Home & Kitchen,5108.42,3.45,0.1219,40,10,2,0.2,1,40.3,UPI,39.6,4,Very High,Luxury,1,2,0
O000048,2025-01-01 10:15:54.203855,C00246,P00688,Electronics,1306.6,3.56,0.1048,21,3,0,0.0,1,16.4,Credit Card,21.8,3,Medium,Mid,1,2,0
O000049,2025-01-01 10:29:00.463511,C02681,P01307,Sports,2766.51,3.45,0.1142,23,10,0,0.0,1,29.7,Debit Card,21.2,2,High,Premium,1,2,0
O000050,2025-01-01 10:42:06.723168,C01799,P02235,Books,2271.35,4.29,0.02,40,7,4,0.5714,1,0.0,UPI,25.4,3,Low,Premium,1,2,0
O000051,2025-01-01 10:55:12.982824,C04777,P02384,Fashion,414.18,3.77,0.2752,33,9,0,0.0,2,10.5,Debit Card,4.6,3,Medium,Budget,1,2,1
O000052,2025-01-01 11:08:19.242481,C03703,P01281,Home & Kitchen,955.5,3.29,0.1598,29,9,3,0.3333,1,0.0,Wallet,14.1,4,Low,Mid,1,2,0
O000053,2025-01-01 11:21:25.502137,C05739,P00659,Home & Kitchen,3359.75,4.23,0.1025,28,8,2,0.25,2,52.0,Credit Card,38.1,4,Very High,Premium,1,2,1
O000054,2025-01-01 11:34:31.761794,C00903,P02223,Fashion,1083.71,3.85,0.2229,28,11,3,0.2727,1,36.0,COD,24.9,3,High,Mid,1,2,1
O000055,2025-01-01 11:47:38.021450,C04401,P01504,Home & Kitchen,1072.79,3.75,0.1405,35,7,0,0.0,1,4.5,UPI,4.6,4,Low,Mid,1,2,0
O000056,2025-01-01 12:00:44.281107,C03228,P01686,Home & Kitchen,205.91,4.15,0.0929,35,4,0,0.0,1,8.4,Credit Card,9.7,3,Low,Budget,1,2,0
O000057,2025-01-01 12:13:50.540763,C07918,P01733,Beauty,11295.23,2.97,0.02,22,9,2,0.2222,1,1.2,UPI,26.4,4,Low,Luxury,1,2,1
O000058,2025-01-01 12:26:56.800420,C05749,P00036,Electronics,484.18,4.33,0.0848,61,7,0,0.0,1,18.0,COD,7.5,3,Medium,Budget,1,2,0
O000059,2025-01-01 12:40:03.060076,C07805,P00277,Beauty,465.97,3.48,0.1263,53,3,0,0.0,1,19.2,Credit Card,6.4,2,Medium,Budget,1,2,0
O000060,2025-01-01 12:53:09.319732,C01973,P00188,Electronics,689.22,4.51,0.1095,50,8,4,0.5,2,5.2,UPI,13.2,4,Low,Mid,1,2,1
O000061,2025-01-01 13:06:15.579389,C05746,P00334,Home & Kitchen,1603.98,4.44,0.1396,18,5,3,0.6,1,21.8,Wallet,11.5,1,Medium,Premium,1,2,0
O000062,2025-01-01 13:19:21.839045,C00050,P00644,Fashion,443.01,3.57,0.2891,54,3,1,0.3333,1,5.7,UPI,9.9,3,Low,Budget,1,2,0
O000063,2025-01-01 13:32:28.098702,C02897,P00625,Books,1895.71,3.69,0.0303,49,3,1,0.3333,2,12.3,COD,20.1,2,Medium,Premium,1,2,0
O000064,2025-01-01 13:45:34.358358,C00012,P01536,Books,540.93,4.85,0.1151,63,14,0,0.0,2,23.9,COD,9.9,2,Medium,Mid,1,2,0
O000065,2025-01-01 13:58:40.618015,C05859,P02491,Fashion,641.61,3.9,0.2244,34,13,2,0.1538,2,6.0,Credit Card,34.4,4,Low,Mid,1,2,0
O000066,2025-01-01 14:11:46.877671,C05994,P00362,Footwear,208.46,4.22,0.2145,48,3,0,0.0,1,0.0,Credit Card,22.4,4,Low,Budget,1,2,0
O000067,2025-01-01 14:24:53.137328,C00347,P00251,Electronics,452.84,3.56,0.059,64,10,4,0.4,1,18.4,COD,8.9,2,Medium,Budget,1,2,0
O000068,2025-01-01 14:37:59.396984,C05424,P00296,Fashion,591.08,3.89,0.3035,29,6,0,0.0,2,15.0,Debit Card,26.6,3,Medium,Mid,1,2,0
O000069,2025-01-01 14:51:05.656641,C04355,P00784,Home & Kitchen,2771.76,4.21,0.0835,40,4,1,0.25,1,48.7,UPI,6.7,1,Very High,Premium,1,2,0
O000070,2025-01-01 15:04:11.916297,C07824,P00359,Electronics,487.71,3.85,0.1092,40,16,1,0.0625,1,33.9,Credit Card,6.7,2,High,Budget,1,2,1
O000071,2025-01-01 15:17:18.175954,C01037,P00785,Sports,3380.84,3.96,0.1334,60,7,1,0.1429,1,24.3,COD,11.7,3,Medium,Premium,1,2,0
O000072,2025-01-01 15:30:24.435610,C03592,P02117,Fashion,793.54,4.84,0.2499,31,9,1,0.1111,1,4.2,Credit Card,5.2,3,Low,Mid,1,2,0
O000073,2025-01-01 15:43:30.695267,C06302,P02078,Books,955.91,4.27,0.0901,18,10,0,0.0,1,13.6,UPI,11.2,4,Medium,Mid,1,2,1
O000074,2025-01-01 15:56:36.954923,C05240,P00330,Books,3416.48,4.23,0.02,60,14,3,0.2143,2,0.7,Debit Card,4.7,1,Low,Premium,1,2,0
O000075,2025-01-01 16:09:43.214580,C04864,P00638,Books,1000.67,4.55,0.039,51,4,2,0.5,1,19.5,Wallet,7.3,3,Medium,Mid,1,2,0
O000076,2025-01-01 16:22:49.474236,C05377,P01027,Books,1203.38,4.46,0.0448,26,8,0,0.0,1,2.9,UPI,4.2,2,Low,Mid,1,2,0
O000077,2025-01-01 16:35:55.733893,C03290,P01653,Footwear,3270.62,3.4,0.1884,26,6,1,0.1667,1,35.1,UPI,3.1,2,High,Premium,1,2,0
O000078,2025-01-01 16:49:01.993549,C01333,P01289,Fashion,1640.55,3.8,0.2891,37,8,0,0.0,3,19.8,COD,12.9,3,Medium,Premium,1,2,0
O000079,2025-01-01 17:02:08.253206,C01393,P00646,Fashion,5444.09,4.38,0.2469,64,7,0,0.0,1,20.3,Credit Card,9.8,4,Medium,Luxury,1,2,0
O000080,2025-01-01 17:15:14.512862,C01578,P00813,Sports,150.0,4.51,0.0694,55,4,0,0.0,1,14.3,Credit Card,26.0,2,Medium,Budget,1,2,1
O000081,2025-01-01 17:28:20.772519,C01042,P02079,Footwear,636.18,3.09,0.2149,58,4,1,0.25,1,1.5,Wallet,16.9,3,Low,Mid,1,2,1
O000082,2025-01-01 17:41:27.032175,C05754,P01121,Footwear,519.95,4.02,0.2346,30,7,1,0.1429,1,23.6,UPI,9.7,2,Medium,Mid,1,2,0
O000083,2025-01-01 17:54:33.291832,C04905,P01656,Beauty,264.25,4.65,0.1623,26,13,3,0.2308,1,0.0,COD,6.5,3,Low,Budget,1,2,0
O000084,2025-01-01 18:07:39.551488,C00644,P02326,Home & Kitchen,1370.24,4.07,0.1281,40,15,3,0.2,3,15.4,UPI,9.8,3,Medium,Mid,1,2,0
O000085,2025-01-01 18:20:45.811145,C07848,P01338,Electronics,1657.37,3.9,0.0524,61,10,0,0.0,1,34.1,UPI,2.0,2,High,Premium,1,2,0
O000086,2025-01-01 18:33:52.070801,C00446,P01568,Home & Kitchen,1125.57,4.02,0.0985,49,6,1,0.1667,1,25.9,UPI,24.0,2,High,Mid,1,2,0
O000087,2025-01-01 18:46:58.330458,C02882,P01756,Books,5109.58,3.69,0.0815,29,6,0,0.0,1,27.6,Debit Card,15.2,2,High,Luxury,1,2,0
O000088,2025-01-01 19:00:04.590114,C07875,P02404,Fashion,1429.76,3.92,0.2007,31,6,2,0.3333,1,26.2,Debit Card,17.9,2,High,Mid,1,2,0
O000089,2025-01-01 19:13:10.849771,C07546,P00068,Beauty,966.58,4.13,0.1301,49,9,3,0.3333,4,16.3,Debit Card,18.0,3,Medium,Mid,1,2,0
O000090,2025-01-01 19:26:17.109427,C04697,P00869,Electronics,538.37,2.55,0.096,21,9,0,0.0,1,15.3,UPI,27.0,5,Medium,Mid,1,2,0
O000091,2025-01-01 19:39:23.369084,C02111,P01252,Electronics,1639.8,4.03,0.0718,31,12,6,0.5,1,19.3,Credit Card,5.3,4,Medium,Premium,1,2,0
O000092,2025-01-01 19:52:29.628740,C02247,P01105,Fashion,4578.79,3.73,0.207,45,4,0,0.0,1,9.3,UPI,3.2,3,Low,Premium,1,2,0
O000093,2025-01-01 20:05:35.888397,C03177,P00804,Fashion,957.05,4.67,0.2018,46,8,0,0.0,1,0.0,COD,27.8,3,Low,Mid,1,2,0
O000094,2025-01-01 20:18:42.148053,C04987,P01751,Fashion,729.99,5.0,0.2388,63,5,0,0.0,1,9.4,COD,19.3,2,Low,Mid,1,2,0
O000095,2025-01-01 20:31:48.407710,C01859,P02484,Footwear,2343.47,4.33,0.1897,42,13,6,0.4615,2,29.3,Debit Card,8.2,3,High,Premium,1,2,0
O000096,2025-01-01 20:44:54.667366,C06786,P01506,Footwear,595.3,3.32,0.2368,63,5,1,0.2,1,10.3,UPI,4.9,3,Medium,Mid,1,2,1
O000097,2025-01-01 20:58:00.927023,C07311,P01445,Home & Kitchen,705.75,3.86,0.1433,59,17,0,0.0,1,5.9,Credit Card,8.8,3,Low,Mid,1,2,0
O000098,2025-01-01 21:11:07.186679,C03283,P01933,Beauty,2465.82,3.6,0.0634,63,10,3,0.3,1,17.7,Credit Card,30.5,4,Medium,Premium,1,2,0
O000099,2025-01-01 21:24:13.446336,C07094,P01762,Books,2032.78,5.0,0.0889,40,10,1,0.1,1,19.9,Credit Card,37.1,3,Medium,Premium,1,2,0
O000100,2025-01-01 21:37:19.705992,C06470,P02104,Fashion,1307.61,3.82,0.2208,25,7,1,0.1429,2,21.1,UPI,9.8,2,Medium,Mid,1,2,0
O000101,2025-01-01 21:50:25.965649,C06461,P00460,Fashion,5210.11,4.03,0.293,25,10,5,0.5,1,7.3,UPI,19.0,2,Low,Luxury,1,2,1
O000102,2025-01-01 22:03:32.225305,C05435,P00988,Electronics,1948.58,4.8,0.1002,42,6,2,0.3333,1,52.3,Debit Card,9.8,2,Very High,Premium,1,2,0
O000103,2025-01-01 22:16:38.484962,C05728,P01270,Fashion,2612.45,3.59,0.3308,22,8,3,0.375,2,18.0,Debit Card,4.5,2,Medium,Premium,1,2,1
O000104,2025-01-01 22:29:44.744618,C02123,P00298,Home & Kitchen,1035.95,3.9,0.1539,45,7,2,0.2857,1,43.3,Credit Card,7.4,3,Very High,Mid,1,2,0
O000105,2025-01-01 22:42:51.004275,C00208,P00472,Books,2231.4,4.58,0.0666,63,7,1,0.1429,1,45.2,COD,19.4,3,Very High,Premium,1,2,0
O000106,2025-01-01 22:55:57.263931,C03102,P01431,Books,1266.66,4.72,0.0654,24,11,2,0.1818,2,12.9,Credit Card,5.4,2,Medium,Mid,1,2,0
O000107,2025-01-01 23:09:03.523588,C01139,P00191,Beauty,1013.16,3.98,0.0901,52,8,1,0.125,1,38.7,UPI,17.2,3,High,Mid,1,2,0
O000108,2025-01-01 23:22:09.783244,C05731,P00675,Beauty,516.39,3.4,0.1282,57,10,2,0.2,1,12.9,Credit Card,6.3,3,Medium,Mid,1,2,1
O000109,2025-01-01 23:35:16.042901,C02298,P00120,Fashion,333.38,3.55,0.2543,41,5,0,0.0,1,1.6,Debit Card,1.0,1,Low,Budget,1,2,0
O000110,2025-01-01 23:48:22.302557,C07136,P00556,Beauty,1417.88,4.87,0.1193,40,13,1,0.0769,1,15.3,Credit Card,8.0,2,Medium,Mid,1,2,0
O000111,2025-01-02 00:01:28.562214,C02894,P01998,Footwear,399.29,4.29,0.1681,60,5,0,0.0,2,11.3,UPI,25.0,4,Medium,Budget,1,3,0
O000112,2025-01-02 00:14:34.821870,C00186,P00290,Books,1017.43,4.34,0.0868,38,7,0,0.0,3,15.9,Debit Card,9.3,4,Medium,Mid,1,3,0
O000113,2025-01-02 00:27:41.081527,C04208,P01106,Sports,2014.36,3.67,0.1175,62,5,0,0.0,1,26.9,Wallet,2.6,3,High,Premium,1,3,0
O000114,2025-01-02 00:40:47.341183,C03804,P01062,Sports,421.39,4.09,0.0831,19,10,0,0.0,3,16.6,UPI,10.5,4,Medium,Budget,1,3,0
O000115,2025-01-02 00:53:53.600840,C04991,P00261,Fashion,678.68,3.38,0.2805,48,9,2,0.2222,1,22.1,Debit Card,3.6,2,Medium,Mid,1,3,0
O000116,2025-01-02 01:06:59.860496,C03051,P00029,Fashion,4570.68,4.72,0.2657,57,5,0,0.0,1,30.4,UPI,23.7,3,High,Premium,1,3,0
O000117,2025-01-02 01:20:06.120153,C02985,P01906,Fashion,762.14,3.95,0.2425,51,12,5,0.4167,1,27.9,UPI,5.2,2,High,Mid,1,3,0
O000118,2025-01-02 01:33:12.379809,C06535,P00413,Fashion,2072.78,4.21,0.2734,63,11,0,0.0,2,15.9,COD,13.5,3,Medium,Premium,1,3,1
O000119,2025-01-02 01:46:18.639465,C00130,P00653,Books,2144.25,4.17,0.0485,47,9,1,0.1111,1,36.0,UPI,19.1,3,High,Premium,1,3,0
O000120,2025-01-02 01:59:24.899122,C06254,P01135,Home & Kitchen,1305.5,3.92,0.117,43,12,2,0.1667,1,20.3,UPI,21.5,3,Medium,Mid,1,3,0
O000121,2025-01-02 02:12:31.158778,C06847,P02168,Books,1093.97,4.76,0.0478,23,12,2,0.1667,2,27.5,UPI,34.5,4,High,Mid,1,3,0
O000122,2025-01-02 02:25:37.418435,C07432,P01900,Home & Kitchen,337.4,4.23,0.1109,57,3,0,0.0,1,13.0,Credit Card,23.3,3,Medium,Budget,1,3,0
O000123,2025-01-02 02:38:43.678091,C05420,P02035,Fashion,518.59,3.97,0.2599,48,9,1,0.1111,1,12.3,UPI,9.1,2,Medium,Mid,1,3,0
O000124,2025-01-02 02:51:49.937748,C05475,P00856,Fashion,7466.46,3.27,0.2053,20,4,0,0.0,4,21.0,Wallet,13.2,2,Medium,Luxury,1,3,0
O000125,2025-01-02 03:04:56.197404,C00462,P02298,Fashion,280.27,4.03,0.1983,24,6,1,0.1667,1,1.5,UPI,30.3,4,Low,Budget,1,3,1
O000126,2025-01-02 03:18:02.457061,C07741,P00741,Beauty,448.04,4.64,0.0742,24,6,0,0.0,1,11.8,Credit Card,15.2,3,Medium,Budget,1,3,0
O000127,2025-01-02 03:31:08.716717,C01698,P02230,Electronics,237.92,4.44,0.1113,25,8,0,0.0,1,14.5,Credit Card,7.6,2,Medium,Budget,1,3,0
O000128,2025-01-02 03:44:14.976374,C07998,P00520,Electronics,3831.55,4.34,0.0686,33,7,0,0.0,3,4.5,Credit Card,7.7,3,Low,Premium,1,3,0
O000129,2025-01-02 03:57:21.236030,C04681,P00413,Fashion,2072.78,4.21,0.2734,33,5,0,0.0,2,20.1,COD,20.8,2,Medium,Premium,1,3,0
O000130,2025-01-02 04:10:27.495687,C05059,P01777,Beauty,2003.41,4.04,0.0665,29,9,2,0.2222,1,9.8,Debit Card,12.3,3,Low,Premium,1,3,0
O000131,2025-01-02 04:23:33.755343,C00773,P00917,Footwear,2089.36,4.05,0.1967,18,8,1,0.125,1,33.5,UPI,26.4,3,High,Premium,1,3,0
O000132,2025-01-02 04:36:40.015000,C00284,P00239,Electronics,1568.41,4.1,0.0976,41,7,2,0.2857,1,23.4,UPI,9.8,3,Medium,Premium,1,3,0
O000133,2025-01-02 04:49:46.274656,C04635,P01348,Beauty,1360.11,3.4,0.0536,22,10,4,0.4,3,2.3,Credit Card,21.9,2,Low,Mid,1,3,0
O000134,2025-01-02 05:02:52.534313,C02155,P01647,Sports,1995.01,4.53,0.1299,51,7,1,0.1429,3,34.1,Credit Card,14.1,4,High,Premium,1,3,0
O000135,2025-01-02 05:15:58.793969,C04062,P00521,Fashion,1213.8,4.51,0.2811,19,9,1,0.1111,3,26.9,UPI,19.8,4,High,Mid,1,3,0
O000136,2025-01-02 05:29:05.053626,C02132,P00510,Fashion,1593.21,3.95,0.3024,63,10,2,0.2,1,7.1,Credit Card,13.0,3,Low,Premium,1,3,0
O000137,2025-01-02 05:42:11.313282,C04444,P02066,Footwear,367.81,3.76,0.1751,39,9,2,0.2222,1,31.2,COD,5.5,3,High,Budget,1,3,0
O000138,2025-01-02 05:55:17.572939,C06226,P00895,Electronics,672.37,3.85,0.0499,51,9,1,0.1111,1,23.6,Debit Card,5.4,3,Medium,Mid,1,3,0
O000139,2025-01-02 06:08:23.832595,C02536,P01038,Beauty,1850.51,3.24,0.1218,63,6,2,0.3333,1,36.6,COD,16.7,3,High,Premium,1,3,0
O000140,2025-01-02 06:21:30.092252,C05634,P00466,Books,2285.79,4.08,0.02,31,8,1,0.125,1,2.9,COD,6.8,3,Low,Premium,1,3,1
O000141,2025-01-02 06:34:36.351908,C00714,P01468,Beauty,2222.79,4.16,0.1241,53,2,1,0.5,1,35.2,Wallet,16.7,4,High,Premium,1,3,0
O000142,2025-01-02 06:47:42.611565,C01944,P00221,Footwear,3188.49,3.63,0.2012,19,4,0,0.0,2,3.9,Credit Card,6.1,3,Low,Premium,1,3,0
O000143,2025-01-02 07:00:48.871221,C04638,P00718,Home & Kitchen,1516.6,4.92,0.2111,41,9,2,0.2222,1,12.3,Credit Card,12.4,3,Medium,Premium,1,3,0
O000144,2025-01-02 07:13:55.130878,C01401,P00787,Fashion,918.17,4.23,0.1821,58,4,0,0.0,1,9.0,Debit Card,24.4,3,Low,Mid,1,3,0
O000145,2025-01-02 07:27:01.390534,C06349,P02486,Electronics,1345.68,3.44,0.0537,40,10,2,0.2,2,20.0,COD,14.7,2,Medium,Mid,1,3,1
O000146,2025-01-02 07:40:07.650191,C02554,P00939,Home & Kitchen,2749.47,2.68,0.0404,27,11,0,0.0,1,16.3,Debit Card,27.5,4,Medium,Premium,1,3,0
O000147,2025-01-02 07:53:13.909847,C06051,P00422,Electronics,297.3,4.12,0.0863,37,6,1,0.1667,4,23.5,UPI,8.4,2,Medium,Budget,1,3,0
O000148,2025-01-02 08:06:20.169504,C01504,P01000,Fashion,660.86,3.95,0.2762,33,8,3,0.375,3,28.7,Debit Card,16.1,3,High,Mid,1,3,0
O000149,2025-01-02 08:19:26.429160,C04872,P02354,Footwear,3409.21,3.52,0.1834,62,9,3,0.3333,1,14.6,Debit Card,20.6,4,Medium,Premium,1,3,0
O000150,2025-01-02 08:32:32.688817,C07828,P00917,Footwear,2089.36,4.05,0.1967,36,5,0,0.0,2,23.1,COD,53.0,4,Medium,Premium,1,3,0
O000151,2025-01-02 08:45:38.948473,C01747,P02260,Footwear,1961.87,4.21,0.2597,64,5,0,0.0,1,0.8,Debit Card,2.8,4,Low,Premium,1,3,0
O000152,2025-01-02 08:58:45.208130,C01084,P00782,Sports,1619.7,4.03,0.1376,44,14,3,0.2143,1,11.6,Credit Card,33.5,4,Medium,Premium,1,3,0
O000153,2025-01-02 09:11:51.467786,C01512,P00918,Fashion,5118.66,3.79,0.2692,28,8,2,0.25,1,10.7,UPI,14.7,2,Medium,Luxury,1,3,0
O000154,2025-01-02 09:24:57.727443,C03971,P00055,Home & Kitchen,1577.27,4.1,0.0941,40,7,0,0.0,1,1.2,UPI,11.0,4,Low,Premium,1,3,0
O000155,2025-01-02 09:38:03.987099,C06896,P00016,Home & Kitchen,4576.48,3.81,0.1231,53,15,0,0.0,3,16.5,COD,9.1,3,Medium,Premium,1,3,0
O000156,2025-01-02 09:51:10.246756,C04398,P02486,Electronics,1345.68,3.44,0.0537,30,6,1,0.1667,4,37.3,UPI,3.5,2,High,Mid,1,3,1
O000157,2025-01-02 10:04:16.506412,C01773,P01543,Home & Kitchen,1001.82,3.82,0.1559,35,6,0,0.0,1,15.3,COD,7.8,4,Medium,Mid,1,3,0
