threshold,targeted_orders,target_rate,true_positives,false_positives,false_negatives,true_negatives,precision,recall,expected_prevented_returns,intervention_cost,avoided_return_cost,net_benefit,roi,f1
0.79,140,0.014,70,70,2143,7717,0.5,0.031631269769543606,42.0,14000.0,33600.0,19600.0,1.4,0.059498512537186576
0.8,113,0.0113,57,56,2156,7731,0.504424778761062,0.025756891098056935,34.199999999999996,11300.0,27359.999999999996,16059.999999999996,1.421238938053097,0.049011177987962166
0.81,91,0.0091,47,44,2166,7743,0.5164835164835165,0.021238138273836422,28.200000000000003,9100.0,22560.000000000004,13460.000000000004,1.4791208791208794,0.04079861111111111
0.82,71,0.0071,41,30,2172,7757,0.5774647887323944,0.01852688657930411,24.599999999999998,7100.0,19680.0,12580.0,1.771830985915493,0.03590192644483362
0.83,51,0.0051,34,17,2179,7770,0.6666666666666666,0.015363759602349751,20.4,5100.0,16319.999999999998,11219.999999999998,2.1999999999999997,0.030035335689045938
0.84,37,0.0037,24,13,2189,7774,0.6486486486486487,0.010845006778129237,14.399999999999999,3700.0,11519.999999999998,7819.999999999998,2.1135135135135132,0.021333333333333333
0.85,29,0.0029,19,10,2194,7777,0.6551724137931034,0.00858563036601898,11.4,2900.0,9120.0,6220.0,2.1448275862068966,0.01694915254237288
0.86,21,0.0021,13,8,2200,7779,0.6190476190476191,0.00587437867148667,7.8,2100.0,6240.0,4140.0,1.9714285714285715,0.011638316920322293
0.87,12,0.0012,7,5,2206,7782,0.5833333333333334,0.0031631269769543608,4.2,1200.0,3360.0,2160.0,1.8,0.006292134831460675
0.88,5,0.0005,4,1,2209,7786,0.8,0.0018075011296882061,2.4,500.0,1920.0,1420.0,2.84,0.003606853020739405
0.89,2,0.0002,2,0,2211,7787,1.0,0.0009037505648441031,1.2,200.0,960.0,760.0,3.8,0.0018058690744920992
0.9,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0.0,0,0,2213,7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
